3,105
16,105
33,99
33,105
47,99
47,105
67,88
67,105
67,121
80,56
80,72
80,88
80,105
80,121
80,137
80,153
96,8
96,42
96,56
96,72
96,88
96,105
96,121
96,137
96,153
96,169
113,8
113,42
113,56
113,72
113,88
113,105
113,121
113,137
113,153
113,169
130,8
130,25
130,42
130,56
130,72
130,88
130,105
130,121
130,137
130,153
130,169
146,42
146,56
146,72
146,88
146,105
146,121
146,137
146,153
146,169
162,42
162,56
162,72
162,88
162,105
162,121
162,137
162,153
162,169
177,56
177,72
177,88
177,105
177,121
177,137
177,153
194,72
194,88
194,105
194,121
194,137
207,88
207,105
207,121
224,105
224,153
224,169
224,185
241,56
241,72
241,105
241,153
241,169
241,185
241,201
257,42
257,56
257,72
257,88
257,105
257,121
257,137
257,153
257,185
257,201
274,42
274,56
274,72
274,137
274,153
274,185
274,201
